anchor,comparator,metric,seed,anchor_value,comparator_value,delta
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,13,103.235,240.53500000000005,-137.30000000000007
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,14,112.43,207.41,-94.97999999999999
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,15,286.995,147.21499999999995,139.78000000000006
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,16,237.25000000000009,494.6,-257.3499999999999
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,17,126.635,148.275,-21.64
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,18,147.365,123.695,23.670000000000016
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,19,144.76999999999998,206.24500000000003,-61.47500000000005
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,20,174.57,107.265,67.30499999999999
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,21,140.945,107.58,33.364999999999995
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,22,246.415,371.295,-124.88000000000002
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,23,235.895,142.67000000000002,93.225
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,24,232.14,156.14,76.0
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,25,301.775,102.13500000000002,199.63999999999996
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,26,328.97,159.50499999999997,169.46500000000006
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,27,107.735,241.36499999999995,-133.62999999999994
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,28,220.21000000000004,187.805,32.40500000000003
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,29,247.43,168.95,78.48000000000002
