anchor,comparator,metric,n_pairs,delta_mean,delta_std,ci95_low,ci95_high,delta_min,delta_max,n_positive,n_negative,n_zero
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,5,4.610999999999995,175.78452353378555,-147.55400000000003,155.86200000000002,-246.58500000000004,233.315,3,2,0
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,5,-18.956718750000007,88.58576045436908,-88.7021875,65.3919270833333,-104.53151041666665,136.78645833333331,2,3,0
