delay,root,baseline_condition,selfmodel_condition,baseline_final_mean,baseline_final_std,selfmodel_final_mean,selfmodel_final_std,delta_final_mean,delta_final_std,delta_final_ci95_low,delta_final_ci95_high,delta_final_n_pairs,delta_final_n_positive,delta_final_n_negative,baseline_auc_mean,baseline_auc_std,selfmodel_auc_mean,selfmodel_auc_std,delta_auc_mean,delta_auc_std,delta_auc_ci95_low,delta_auc_ci95_high,delta_auc_n_pairs,delta_auc_n_positive,delta_auc_n_negative
0,runs/sweeps/stage2_delay_sweep/delay0,learned_tau_delay10,learned_tau_delay10_selfmodel,209.623,80.57596357475349,184.388,85.75275404323759,-25.235000000000007,106.3652220888012,-116.37400000000002,61.515999999999984,5,2,3,160.20192708333337,37.39614600815198,142.08546875000002,44.41697836074871,-18.116458333333338,49.25737222311826,-58.72151041666666,25.121302083333315,5,2,3
5,runs/sweeps/stage2_delay_sweep/delay5,learned_tau_delay10,learned_tau_delay10_selfmodel,195.612,68.79981203462695,171.195,52.14500091092146,-24.417,98.66211155251037,-107.03900000000002,60.806999999999995,5,2,3,167.82625000000002,22.945455960968136,162.99557291666665,18.47997159132763,-4.830677083333353,33.51404466756266,-35.58567708333337,22.14994791666666,5,3,2
10,runs/sweeps/stage2_delay_sweep/delay10,learned_tau_delay10,learned_tau_delay10_selfmodel,232.915,99.64044459957012,294.247,105.98423508239328,61.331999999999994,171.64128607651483,-80.03400000000002,225.11099999999996,5,3,2,198.54671875,34.286101235307456,171.21578125000002,27.656692467231096,-27.330937499999983,15.898575109798921,-40.26604166666664,-13.174270833333328,5,0,5
20,runs/sweeps/stage2_delay_sweep/delay20,learned_tau_delay10,learned_tau_delay10_selfmodel,167.254,35.82108518735857,190.825,79.15584861524762,23.571000000000005,90.60474973200908,-43.21099999999998,112.324,5,3,2,175.48203125,51.874476124519646,139.59328125,26.516714234097456,-35.888750000000016,66.37216331189407,-92.33359375000002,23.404999999999994,5,2,3
