delay,root,baseline_condition,selfmodel_condition,baseline_final_mean,baseline_final_std,selfmodel_final_mean,selfmodel_final_std,delta_final_mean,delta_final_std,delta_final_ci95_low,delta_final_ci95_high,delta_final_n_pairs,delta_final_n_positive,delta_final_n_negative,baseline_auc_mean,baseline_auc_std,selfmodel_auc_mean,selfmodel_auc_std,delta_auc_mean,delta_auc_std,delta_auc_ci95_low,delta_auc_ci95_high,delta_auc_n_pairs,delta_auc_n_positive,delta_auc_n_negative
0,runs/sweeps/stage2_delay_sweep_warmup_both20k_v1/delay0,learned_tau_delay10,learned_tau_delay10_selfmodel,203.7783333333333,90.23614252184224,220.6885,113.39928637451824,16.91016666666667,148.65920906267093,-34.582662500000005,73.46401666666667,30,14,16,163.25519965277778,48.12134445274904,170.32835937500002,55.92035022824408,7.07315972222222,71.93428228035582,-18.17746354166668,34.16046940104166,30,15,15
10,runs/sweeps/stage2_delay_sweep_warmup_both20k_v1/delay10,learned_tau_delay10,learned_tau_delay10_selfmodel,192.49133333333336,82.98179301241663,236.5315,112.55315237070587,44.040166666666664,112.18306386202966,3.1687999999999934,84.65789583333333,30,19,11,162.33877604166665,39.65582740497502,175.95420138888892,59.82041184452189,13.61542534722223,72.49204465757663,-11.064894314236119,40.144559678819455,30,15,15
20,runs/sweeps/stage2_delay_sweep_warmup_both20k_v1/delay20,learned_tau_delay10,learned_tau_delay10_selfmodel,168.55333333333334,49.84050563770619,191.68466666666663,62.33531723580855,23.13133333333334,84.74726240350711,-20.684033333333332,64.18951666666666,15,9,6,155.21704861111112,49.32986824645149,140.90630208333334,25.62300543915051,-14.310746527777777,59.79302017774442,-44.87043793402776,15.791070312499997,15,9,6
