anchor,comparator,metric,n_pairs,delta_mean,delta_std,ci95_low,ci95_high,delta_min,delta_max,n_positive,n_negative,n_zero
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,15,46.61033333333333,128.2736257311776,-16.416599999999992,114.00205833333332,-162.66499999999996,308.6,10,5,0
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,15,-4.706909722222215,61.72908604239233,-35.31961718750001,27.683554253472227,-112.60416666666663,140.80130208333338,7,8,0
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,15,18.43900000000001,144.66946227175936,-54.14338333333335,90.94124166666664,-255.95000000000002,259.405,8,7,0
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,15,-8.962135416666671,63.79231494571691,-39.97173046875001,23.69205859375001,-108.94427083333338,109.8375,7,8,0
