metric,n_seeds,low_delays,high_delays,low_delta_mean,low_delta_std,high_delta_mean,high_delta_std,group_diff_mean,group_diff_std,group_diff_ci95_low,group_diff_ci95_high,n_positive,n_negative,n_zero
final_mean,30,0,20,16.91016666666667,148.65920906267093,14.47166666666667,69.88228274907898,-2.4385000000000066,164.3750408524664,-62.866729166666666,56.19701666666661,17,13,0
auc,30,0,20,7.07315972222222,71.93428228035582,-9.175963541666667,47.53588802854713,-16.249123263888887,82.64947810734105,-46.497287977430545,12.539499999999986,16,14,0
