metric,n_seeds,low_delays,high_delays,low_delta_mean,low_delta_std,high_delta_mean,high_delta_std,group_diff_mean,group_diff_std,group_diff_ci95_low,group_diff_ci95_high,n_positive,n_negative,n_zero
final_mean,15,0,20,3.9113333333333324,103.35556750794265,23.13133333333334,84.74726240350711,19.220000000000006,135.32989021892644,-49.71401666666667,85.88124999999997,8,7,0
auc,15,0,20,2.7668229166666634,54.362996794101356,-14.310746527777777,59.79302017774442,-17.077569444444446,68.13026085242387,-52.25941015624998,17.634545572916657,7,8,0
