anchor,comparator,metric,n_pairs,delta_mean,delta_std,ci95_low,ci95_high,delta_min,delta_max,n_positive,n_negative,n_zero
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,15,23.13133333333334,84.74726240350711,-20.684033333333332,64.18951666666666,-170.14,139.125,9,6,0
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,15,-14.310746527777777,59.79302017774442,-44.87043793402776,15.791070312499997,-121.0328125,88.30963541666664,9,6,0
