metric,seed,low_group_delta,high_group_delta,group_diff
auc,0,-33.28645833333334,-43.97591145833334,-10.689453125
auc,1,64.56510416666667,71.54440104166667,6.979296875000003
auc,2,-28.464322916666674,34.956901041666654,63.42122395833333
auc,3,-22.63255208333338,-68.23502604166666,-45.60247395833328
auc,4,8.182812499999955,-6.5432291666666345,-14.726041666666589
auc,5,-43.5130208333333,74.65091145833335,118.16393229166665
auc,6,-46.96979166666665,33.79127604166668,80.76106770833333
auc,7,-14.864843750000034,-39.482942708333326,-24.61809895833329
auc,8,150.66510416666668,27.533463541666677,-123.131640625
auc,9,52.65703124999999,-17.538020833333327,-70.19505208333331
auc,10,-47.77890624999998,-49.15468749999998,-1.3757812500000028
auc,11,0.8309895833333769,8.379296874999987,7.54830729166661
auc,12,44.46458333333331,-3.111588541666663,-47.57617187499997
auc,13,16.42682291666665,-90.24648437500001,-106.67330729166666
auc,14,-58.78020833333332,-75.20078125000002,-16.4205729166667
auc,15,-55.51484375000001,106.39739583333333,161.91223958333336
auc,16,-67.64583333333334,-12.932421875000003,54.71341145833334
auc,17,5.854427083333363,4.190364583333327,-1.6640625000000355
auc,18,143.29947916666669,-25.743619791666667,-169.04309895833336
auc,19,71.54166666666673,23.383333333333354,-48.158333333333374
auc,20,122.3828125,-25.20429687499999,-147.58710937499998
auc,21,30.25494791666665,-1.8372395833333712,-32.09218750000002
auc,22,147.53958333333333,-40.61002604166667,-188.149609375
auc,23,-116.55885416666669,6.28216145833337,122.84101562500007
auc,24,11.000520833333354,16.190625000000026,5.190104166666671
auc,25,-67.09375,9.306249999999991,76.39999999999999
auc,26,106.27005208333335,83.37473958333334,-22.895312500000017
auc,27,-84.22083333333333,45.422005208333324,129.64283854166666
auc,28,-8.446614583333343,38.96041666666666,47.40703125
auc,29,-67.97031250000002,-17.95533854166667,50.01497395833335
final_mean,0,-78.305,105.45500000000001,183.76000000000002
final_mean,1,132.02500000000003,217.82750000000004,85.80250000000001
final_mean,2,-8.455000000000013,32.1025,40.55750000000001
final_mean,3,-57.670000000000044,-70.51500000000001,-12.84499999999997
final_mean,4,-28.660000000000025,118.22,146.88000000000002
final_mean,5,5.855000000000004,85.8325,79.97749999999999
final_mean,6,-38.775000000000006,151.26000000000002,190.03500000000003
final_mean,7,-107.44999999999999,99.805,207.255
final_mean,8,262.31500000000005,35.19499999999997,-227.1200000000001
final_mean,9,11.97500000000008,-50.635000000000005,-62.610000000000085
final_mean,10,-113.38000000000002,30.07500000000001,143.45500000000004
final_mean,11,151.375,28.515000000000015,-122.85999999999999
final_mean,12,45.525000000000006,10.6875,-34.837500000000006
final_mean,13,-4.635000000000019,-166.40249999999997,-161.76749999999996
final_mean,14,-113.07000000000005,-104.35999999999999,8.710000000000065
final_mean,15,-83.675,94.02499999999998,177.7
final_mean,16,-101.27999999999997,43.752500000000026,145.0325
final_mean,17,22.590000000000003,1.5799999999999983,-21.010000000000005
final_mean,18,289.63,-65.20250000000003,-354.83250000000004
final_mean,19,41.56000000000002,-5.6200000000000045,-47.18000000000002
final_mean,20,353.6650000000001,-9.19250000000001,-362.8575000000001
final_mean,21,-101.88,-22.8825,78.9975
final_mean,22,219.94,-54.5125,-274.4525
final_mean,23,-209.76000000000005,37.29750000000001,247.05750000000006
final_mean,24,93.44999999999999,54.1825,-39.26749999999999
final_mean,25,-114.66499999999999,81.50249999999998,196.16749999999996
final_mean,26,334.02,130.605,-203.415
final_mean,27,-173.975,31.945,205.92
final_mean,28,6.030000000000015,57.99750000000002,51.9675
final_mean,29,-127.01500000000001,-20.862500000000047,106.15249999999997
