metric,n_seeds,low_delays,high_delays,low_delta_mean,low_delta_std,high_delta_mean,high_delta_std,group_diff_mean,group_diff_std,group_diff_ci95_low,group_diff_ci95_high,n_positive,n_negative,n_zero
final_mean,30,0,10,16.91016666666667,148.65920906267093,44.040166666666664,112.18306386202966,27.129999999999995,187.12694602862516,-42.314245833333345,90.57695833333328,18,12,0
auc,30,0,10,7.07315972222222,71.93428228035582,13.61542534722223,72.49204465757663,6.542265625000007,105.77665348899765,-30.844555338541664,44.30990863715277,14,16,0
