anchor,comparator,metric,n_pairs,delta_mean,delta_std,ci95_low,ci95_high,delta_min,delta_max,n_positive,n_negative,n_zero
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,15,14.566666666666661,134.39920582189302,-49.76377500000001,85.43239999999999,-177.26,351.175,8,7,0
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,15,-18.347899305555543,37.13443002836829,-36.34784071180555,1.2743342013889063,-69.29817708333331,59.87031250000004,3,12,0
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,15,62.102000000000004,115.3314786430834,7.223983333333334,124.35954166666666,-135.00500000000002,359.32,11,4,0
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,15,10.099201388888892,41.93188768566729,-10.800805555555552,31.6356892361111,-63.0546875,102.60859375000004,7,8,0
