file,category,precision,recall,f1,pa_precision,pa_recall,pa_f1,n_windows,n_timesteps,threshold,train_s,score_s,pa_f1_mean,pa_f1_std,pa_f1_min,pa_f1_max,n_runs,n_successful_runs
artificialWithAnomaly/art_daily_flatmiddle.csv,artificialWithAnomaly,0.08163265306122448,0.009925558312655087,0.017699115044247787,0.8995535714285714,1.0,0.9471210340775558,1,4032,4.0,48.62441635131836,1.4214355945587158,0.6317854427317343,0.4467400024097979,0.0,0.9482352941176471,3,2
artificialWithAnomaly/art_daily_jumpsdown.csv,artificialWithAnomaly,0.13333333333333333,0.01488833746898263,0.026785714285714284,0.9117647058823529,1.0,0.9538461538461539,1,4032,4.0,54.30986666679382,1.2436890602111816,0.9629603188767922,0.02729371375091699,0.9350348027842227,1.0,3,3
artificialWithAnomaly/art_daily_jumpsup.csv,artificialWithAnomaly,0.10810810810810811,0.009925558312655087,0.01818181818181818,0.9243119266055045,1.0,0.9606674612634087,1,4032,4.0,52.84846043586731,1.2824394702911377,0.6431391537544696,0.454780027542341,0.0,0.96875,3,2
artificialWithAnomaly/art_daily_nojump.csv,artificialWithAnomaly,0.14285714285714285,0.01488833746898263,0.02696629213483146,0.9179954441913439,1.0,0.9572446555819477,1,4032,4.0,53.472904920578,1.3538665771484375,0.9655461983252956,0.025429121815824986,0.9393939393939393,1.0,3,3
artificialWithAnomaly/art_increase_spike_density.csv,artificialWithAnomaly,0.08333333333333333,0.0024813895781637717,0.004819277108433735,0.9734299516908212,1.0,0.9865361077111383,1,4032,4.0,55.72781443595886,1.3540408611297607,0.9779132255618951,0.012194596882204582,0.9606674612634087,0.9865361077111383,3,3
artificialWithAnomaly/art_load_balancer_spikes.csv,artificialWithAnomaly,0.14285714285714285,0.01488833746898263,0.02696629213483146,0.9179954441913439,1.0,0.9572446555819477,1,4032,4.0,58.272738456726074,1.2877840995788574,0.7946136196276941,0.24068747864651002,0.45434047350620066,0.9722557297949337,3,3
realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,realAWSCloudwatch,0.08426966292134831,0.03731343283582089,0.051724137931034475,0.7115044247787611,1.0,0.8314374353671148,2,4032,2.0,60.69677925109863,1.4666118621826172,0.8593301249616498,0.049948723181243826,0.8170731707317073,0.9294797687861271,3,3
realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,realAWSCloudwatch,0.13559322033898305,0.01990049751243781,0.03470715835140998,0.8874172185430463,1.0,0.9403508771929824,2,4032,4.0,54.85889220237732,1.2238011360168457,0.6298611542630681,0.445393852990993,0.0,0.9492325855962219,3,2
realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,realAWSCloudwatch,0.06481481481481481,0.017412935323383085,0.027450980392156866,0.7992047713717694,1.0,0.8883977900552487,2,4032,3.5,56.664658308029175,1.3827006816864014,0.6114267143321417,0.4329804375810339,0.0,0.9458823529411765,3,2
realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,realAWSCloudwatch,0.041666666666666664,0.0024813895781637717,0.00468384074941452,0.9460093896713615,1.0,0.9722557297949337,1,4032,4.0,64.10683822631836,1.4359567165374756,0.9677791689600829,0.013591762535488796,0.9493521790341579,0.9817295980511571,3,3
realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,realAWSCloudwatch,0.1875,0.01749271137026239,0.032,0.9295392953929539,1.0,0.9634831460674158,1,4032,4.0,54.20669865608215,1.28641676902771,0.8164460813249832,0.21672232651673992,0.5100371747211896,0.9758179231863442,3,3
realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,realAWSCloudwatch,0.4482758620689655,0.03225806451612903,0.06018518518518518,0.9618138424821002,1.0,0.9805352798053527,1,4032,4.0,52.561941385269165,1.2610957622528076,0.9841633270520972,0.005993062197393877,0.9793438639125152,0.9926108374384237,3,3
realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,realAWSCloudwatch,0.23076923076923078,0.02962962962962963,0.052516411378555804,0.9101123595505618,1.0,0.9529411764705883,3,4032,3.5,52.868253231048584,1.2840352058410645,0.9526469205606641,0.008689466010927033,0.9418604651162791,0.9631391200951249,3,3
realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,realAWSCloudwatch,0.04,0.0021141649048625794,0.004016064257028112,0.9517102615694165,1.0,0.9752577319587629,1,4730,3.5,58.264811754226685,1.3582637310028076,0.9755946020987905,0.001255461489735782,0.9742533470648815,0.9772727272727273,3,3
realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,realAWSCloudwatch,0.1016949152542373,0.014814814814814815,0.025862068965517244,0.8842794759825328,1.0,0.9385863267670915,3,4032,2.75,57.747560024261475,1.2331788539886475,0.9319214907958742,0.012642527519139782,0.9142212189616252,0.9429569266589056,3,3
realAWSCloudwatch/ec2_network_in_257a54.csv,realAWSCloudwatch,0.047619047619047616,0.0024813895781637717,0.0047169811320754715,0.9527186761229315,1.0,0.9757869249394674,1,4032,4.0,54.51224732398987,1.3886630535125732,0.9742761955812153,0.007753903647429932,0.9641148325358853,0.9829268292682927,3,3
realAWSCloudwatch/ec2_network_in_5abac7.csv,realAWSCloudwatch,0.10294117647058823,0.014767932489451477,0.025830258302583026,0.8859813084112149,1.0,0.9395441030723488,2,4730,3.0,59.27318620681763,1.3002302646636963,0.945343120223165,0.02167232958676314,0.9221789883268482,0.9743062692702981,3,3
realAWSCloudwatch/elb_request_count_8c0756.csv,realAWSCloudwatch,0.0975609756097561,0.029850746268656716,0.04571428571428571,0.783625730994152,1.0,0.8786885245901639,2,4032,4.0,51.461918592453,1.3609504699707031,0.7578312082016323,0.2007714309187815,0.47489663319551095,0.9199084668192219,3,3
realAWSCloudwatch/grok_asg_anomaly.csv,realAWSCloudwatch,0.26153846153846155,0.03655913978494624,0.06415094339622641,0.9064327485380117,1.0,0.950920245398773,3,4621,2.5,63.10657835006714,1.4653434753417969,0.9470963659525964,0.006832127389079827,0.9375,0.9528688524590164,3,3
realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,realAWSCloudwatch,0.2964705882352941,1.0,0.4573502722323049,0.2964705882352941,1.0,0.4573502722323049,2,1243,1.75,14.48912763595581,0.45015859603881836,0.34249533961288,0.24651901082857716,0.0,0.5701357466063349,3,2
realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,realAWSCloudwatch,0.43661971830985913,0.07711442786069651,0.1310782241014799,0.9095022624434389,1.0,0.9526066350710901,2,4032,4.0,51.29998230934143,1.3058998584747314,0.6443648133163796,0.4557768821017879,0.0,0.9804878048780488,3,2
realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,realAWSCloudwatch,0.48,0.05970149253731343,0.10619469026548672,0.9392523364485982,1.0,0.9686746987951808,2,4032,4.0,56.09667086601257,1.4291934967041016,0.8703565069338844,0.14405924957778135,0.6666666666666666,0.9757281553398058,3,3
realAdExchange/exchange-2_cpc_results.csv,realAdExchange,0.03278688524590164,0.012269938650306749,0.01785714285714286,0.7342342342342343,1.0,0.8467532467532468,1,1624,3.5,15.046364068984985,0.588233470916748,0.6718553378747555,0.2719777382074289,0.28773168578993824,0.8810810810810812,3,3
realAdExchange/exchange-2_cpm_results.csv,realAdExchange,0.11578947368421053,0.13580246913580246,0.125,0.4909090909090909,1.0,0.6585365853658536,2,1624,1.0,16.39353847503662,0.6472480297088623,0.5947045028142589,0.2976168415820434,0.2025,0.923076923076923,3,3
realAdExchange/exchange-3_cpc_results.csv,realAdExchange,0.18604651162790697,0.05228758169934641,0.0816326530612245,0.7445255474452555,0.6666666666666666,0.7034482758620688,3,1538,1.75,15.763120889663696,0.6377015113830566,0.5350284875460773,0.24164403587560096,0.19330385344283008,0.7083333333333334,3,3
realAdExchange/exchange-3_cpm_results.csv,realAdExchange,0.2974683544303797,0.9215686274509803,0.4497607655502392,0.3148148148148148,1.0,0.4788732394366197,1,1538,4.0,16.199162244796753,0.6316518783569336,0.44543950966109497,0.19336957703106591,0.19367088607594934,0.6637744034707159,3,3
realAdExchange/exchange-4_cpc_results.csv,realAdExchange,0.1078838174273859,0.15757575757575756,0.12807881773399019,0.2037037037037037,0.3333333333333333,0.25287356321839083,3,1643,0.75,14.97515320777893,0.6503772735595703,0.41096728058734855,0.27452727073869976,0.18292682926829268,0.7971014492753623,3,3
realAdExchange/exchange-4_cpm_results.csv,realAdExchange,0.11643835616438356,0.31097560975609756,0.16943521594684388,0.17484008528784648,0.5,0.2590837282780411,4,1643,0.75,14.788693189620972,0.5846576690673828,0.33199809729676494,0.16079625708671286,0.18191902384914033,0.5549915397631133,3,3
realKnownCause/ambient_temperature_system_failure.csv,realKnownCause,0.18421052631578946,0.009641873278236915,0.01832460732984293,0.9590488771466315,1.0,0.9790964261631827,2,7267,4.0,128.58290696144104,2.527111530303955,0.980455662071707,0.0060311490702449925,0.9738430583501005,0.9884275017018379,3,3
realKnownCause/cpu_utilization_asg_misconfiguration.csv,realKnownCause,0.6,0.004002668445630421,0.007952286282306164,0.9973386560212908,1.0,0.9986675549633578,1,18050,3.5,328.6701455116272,5.540411949157715,0.9984470313955177,0.001096905812180249,0.9970069837046891,0.9996665555185061,3,3
realKnownCause/ec2_request_latency_system_failure.csv,realKnownCause,0.07142857142857142,0.028901734104046242,0.0411522633744856,0.726890756302521,1.0,0.8418491484184915,3,4032,3.0,94.08769488334656,1.5383508205413818,0.8378713508008704,0.06395460947768734,0.7576301615798924,0.9141347424042271,3,3
realKnownCause/machine_temperature_system_failure.csv,realKnownCause,0.14035087719298245,0.010582010582010581,0.01968019680196802,0.9391304347826087,1.0,0.968609865470852,4,22695,3.0,290.6384174823761,5.940191030502319,0.961519030393958,0.012450081327613464,0.9440166493236213,0.9719305763874009,3,3
realKnownCause/nyc_taxi.csv,realKnownCause,0.10227272727272728,0.008695652173913044,0.016028495102404273,0.9128996692392503,0.8,0.8527291452111225,5,10320,3.0,101.07652759552002,2.7515246868133545,0.8582063942317987,0.01231641632862903,0.8466257668711658,0.8752642706131077,3,3
realKnownCause/rogue_agent_key_hold.csv,realKnownCause,0.15289256198347106,0.3894736842105263,0.2195845697329377,0.31666666666666665,1.0,0.4810126582278481,2,1882,2.0,16.187037229537964,0.6116619110107422,0.4860729901086788,0.1360502917905687,0.3220338983050847,0.6551724137931034,3,3
realKnownCause/rogue_agent_key_updown.csv,realKnownCause,0.13043478260869565,0.011320754716981131,0.020833333333333332,0.9298245614035088,1.0,0.9636363636363636,2,5315,3.0,57.9849853515625,1.4419898986816406,0.9613512818992271,0.006592443859122327,0.9523809523809523,0.9680365296803652,3,3
realTraffic/TravelTime_387.csv,realTraffic,0.02631578947368421,0.004016064257028112,0.0069686411149825775,0.6916666666666667,0.3333333333333333,0.44986449864498645,3,2500,2.25,19.784884452819824,0.6459391117095947,0.39123695905517164,0.09621679169993137,0.25558121632024633,0.4682651622002821,3,3
realTraffic/TravelTime_451.csv,realTraffic,0.045454545454545456,0.004608294930875576,0.008368200836820083,0.9117647058823529,1.0,0.9538461538461539,1,2162,3.5,17.057594537734985,0.6916036605834961,0.781507704819481,0.2736421379928968,0.39526411657559196,0.9954128440366972,3,3
realTraffic/occupancy_6005.csv,realTraffic,0.0125,0.008368200836820083,0.010025062656641603,0.6020151133501259,1.0,0.7515723270440251,1,2380,1.75,18.895745277404785,0.6973879337310791,0.7549321179917049,0.06578381470905245,0.676096181046676,0.8371278458844132,3,3
realTraffic/occupancy_t4013.csv,realTraffic,0.04891304347826087,0.036,0.041474654377880185,0.5882352941176471,1.0,0.7407407407407407,2,2500,1.0,19.692497730255127,0.6990940570831299,0.6448148264064574,0.28121436341809314,0.26260504201680673,0.931098696461825,3,3
realTraffic/speed_6005.csv,realTraffic,0.041666666666666664,0.008368200836820083,0.013937282229965155,0.8385964912280702,1.0,0.9122137404580154,1,2500,1.0,20.980413913726807,0.7139782905578613,0.9291167127749432,0.030206914542524527,0.9035916824196597,0.9715447154471545,3,3
realTraffic/speed_7578.csv,realTraffic,0.16666666666666666,0.008620689655172414,0.01639344262295082,0.8529411764705882,0.25,0.3866666666666666,4,1127,1.5,9.363219738006592,0.2525804042816162,0.42955593672574804,0.2080041707293494,0.19897084048027447,0.703030303030303,3,3
realTraffic/speed_t4013.csv,realTraffic,0.6190476190476191,0.052,0.09594095940959409,0.9689922480620154,1.0,0.9842519685039369,2,2495,2.5,19.32123374938965,0.7353529930114746,0.920414938975119,0.09585583723460342,0.7849293563579277,0.9920634920634921,3,3
realTweets/Twitter_volume_AAPL.csv,realTweets,0.19014084507042253,0.01700251889168766,0.031213872832369944,0.9324721080446271,1.0,0.9650562139167426,4,15902,4.0,234.37956380844116,3.9956705570220947,0.9661515150317386,0.004274933014741776,0.9615501059642749,0.9718482252141982,3,3
realTweets/Twitter_volume_AMZN.csv,realTweets,0.20640569395017794,0.03670886075949367,0.06233207952713595,0.8763172490293955,1.0,0.9340821755838014,4,15831,2.75,231.31003832817078,3.3038907051086426,0.9190825280611713,0.02882654619362816,0.8787541713014461,0.9444112372982666,3,3
realTweets/Twitter_volume_CRM.csv,realTweets,0.08974358974358974,0.004394224733207784,0.008378216636744464,0.9573317307692307,1.0,0.9782007982806262,3,15902,4.0,182.98569130897522,2.8181333541870117,0.980980844759141,0.008274012658683001,0.9725274725274725,0.9922142634693242,3,3
realTweets/Twitter_volume_CVS.csv,realTweets,0.04132231404958678,0.00327653997378768,0.006071645415907711,0.9293544457978076,1.0,0.9633838383838383,3,15853,4.0,195.14933943748474,3.6356618404388428,0.9159868135824366,0.07007504862051205,0.816916488222698,0.9676601141407736,3,3
realTweets/Twitter_volume_FB.csv,realTweets,0.046875,0.0037926675094816687,0.007017543859649122,0.9284037558685446,1.0,0.9628727936701157,2,15833,4.0,199.08589100837708,3.2201764583587646,0.9691047058771423,0.011600107521718297,0.9590785086389815,0.9853628153223295,3,3
realTweets/Twitter_volume_GOOG.csv,realTweets,0.2,0.01675977653631285,0.03092783505154639,0.93717277486911,1.0,0.9675675675675676,3,15842,4.0,214.2925353050232,3.874072313308716,0.9689169331984653,0.006237381568765289,0.9620423244877393,0.9771409075400888,3,3
realTweets/Twitter_volume_IBM.csv,realTweets,0.17307692307692307,0.011320754716981131,0.02125147579693034,0.9486873508353222,1.0,0.9736680955296999,2,15893,4.0,227.76590180397034,3.594409704208374,0.9740927227419305,0.005127013883654583,0.9680365296803652,0.9805735430157263,3,3
realTweets/Twitter_volume_KO.csv,realTweets,0.1271186440677966,0.00945179584120983,0.017595307917888565,0.9390532544378698,1.0,0.9685688129386634,3,15851,4.0,242.23677706718445,4.181180953979492,0.9618292740156872,0.01016517074822021,0.9474626865671641,0.9694563225412339,3,3
realTweets/Twitter_volume_PFE.csv,realTweets,0.20689655172413793,0.007556675062972292,0.014580801944106925,0.9718482252141983,1.0,0.9857231533209186,4,15858,3.5,178.77544140815735,5.175453186035156,0.9538886737325553,0.04720740436741912,0.8871508379888268,0.9887920298879203,3,3
realTweets/Twitter_volume_UPS.csv,realTweets,0.17253521126760563,0.030914826498422712,0.05243445692883895,0.8708791208791209,1.0,0.9309838472834068,5,15866,3.0,297.8029751777649,5.813614845275879,0.9295389022573485,0.009718230634482704,0.9169800404975412,0.9406528189910979,3,3
