file,category,precision,recall,f1,pa_precision,pa_recall,pa_f1,n_windows,n_timesteps,threshold,train_s,score_s
artificialWithAnomaly/art_daily_flatmiddle.csv,artificialWithAnomaly,0.3333333333333333,0.01240694789081886,0.023923444976076555,0.9757869249394673,1.0,0.9877450980392156,1,4032,3.5,50.61500358581543,0.8481624126434326
artificialWithAnomaly/art_daily_jumpsdown.csv,artificialWithAnomaly,0.029411764705882353,0.0024813895781637717,0.004576659038901601,0.9243119266055045,1.0,0.9606674612634087,1,4032,2.75,40.957826375961304,0.9156110286712646
artificialWithAnomaly/art_daily_jumpsup.csv,artificialWithAnomaly,0.1016949152542373,0.01488833746898263,0.025974025974025976,0.8837719298245614,1.0,0.9383003492433062,1,4032,4.0,41.920746088027954,0.866675853729248
artificialWithAnomaly/art_daily_nojump.csv,artificialWithAnomaly,0.1111111111111111,0.0024813895781637717,0.004854368932038835,0.9805352798053528,1.0,0.9901719901719902,1,4032,3.5,47.758172035217285,1.064894676208496
artificialWithAnomaly/art_increase_spike_density.csv,artificialWithAnomaly,0.041666666666666664,0.0024813895781637717,0.00468384074941452,0.9460093896713615,1.0,0.9722557297949337,1,4032,3.0,42.54722738265991,0.7195768356323242
artificialWithAnomaly/art_load_balancer_spikes.csv,artificialWithAnomaly,0.1111111111111111,0.0024813895781637717,0.004854368932038835,0.9805352798053528,1.0,0.9901719901719902,1,4032,3.0,35.46530079841614,0.7354230880737305
realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,realAWSCloudwatch,0.09523809523809523,0.009950248756218905,0.018018018018018018,0.9136363636363637,1.0,0.9548693586698338,2,4032,2.75,42.56946563720703,0.8778419494628906
realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,realAWSCloudwatch,0.3333333333333333,0.004975124378109453,0.00980392156862745,0.9901477832512315,1.0,0.995049504950495,2,4032,3.5,37.20723509788513,0.8176276683807373
realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,realAWSCloudwatch,0.14545454545454545,0.01990049751243781,0.0350109409190372,0.8953229398663697,1.0,0.944770857814336,2,4032,3.5,34.42980432510376,0.9350922107696533
realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,realAWSCloudwatch,0.05172413793103448,0.007444168734491315,0.013015184381778741,0.8799126637554585,1.0,0.9361207897793263,1,4032,2.5,42.81297993659973,0.9004287719726562
realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,realAWSCloudwatch,0.7777777777777778,0.02040816326530612,0.03977272727272727,0.9942028985507246,1.0,0.9970930232558141,1,4032,3.5,37.83912205696106,0.9315528869628906
realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,realAWSCloudwatch,0.5,0.0024813895781637717,0.0049382716049382715,0.9975247524752475,1.0,0.9987608426270136,1,4032,4.0,35.75382161140442,0.7069709300994873
realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,realAWSCloudwatch,0.13675213675213677,0.03950617283950617,0.06130268199233717,0.8003952569169961,1.0,0.889132821075741,3,4032,2.0,34.72554421424866,0.8667125701904297
realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,realAWSCloudwatch,0.07142857142857142,0.0021141649048625794,0.004106776180698152,0.9732510288065843,1.0,0.986444212721585,1,4730,3.0,33.16385626792908,0.7974874973297119
realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,realAWSCloudwatch,0.10752688172043011,0.024691358024691357,0.04016064257028112,0.8299180327868853,1.0,0.9070548712206047,3,4032,2.25,28.981014728546143,0.790076494216919
realAWSCloudwatch/ec2_network_in_257a54.csv,realAWSCloudwatch,0.08333333333333333,0.009925558312655087,0.017738359201773836,0.901565995525727,1.0,0.9482352941176471,1,4032,3.0,30.633209466934204,0.5765805244445801
realAWSCloudwatch/ec2_network_in_5abac7.csv,realAWSCloudwatch,0.09090909090909091,0.014767932489451477,0.02540834845735027,0.8713235294117647,1.0,0.9312377210216111,2,4730,3.0,31.645588636398315,0.7562088966369629
realAWSCloudwatch/elb_request_count_8c0756.csv,realAWSCloudwatch,0.06818181818181818,0.007462686567164179,0.013452914798206279,0.90744920993228,1.0,0.9514792899408284,2,4032,3.0,32.73401069641113,0.5996735095977783
realAWSCloudwatch/grok_asg_anomaly.csv,realAWSCloudwatch,0.25,0.021505376344086023,0.03960396039603961,0.9393939393939394,1.0,0.96875,3,4621,3.0,36.14865779876709,0.7352361679077148
realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,realAWSCloudwatch,0.003968253968253968,0.007936507936507936,0.005291005291005291,0.20063694267515925,0.5,0.2863636363636364,2,1243,0.5,7.174964427947998,0.19236350059509277
realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,realAWSCloudwatch,0.18146718146718147,0.11691542288557213,0.14220877458396367,0.48668280871670705,0.5,0.4932515337423313,2,4032,1.75,21.582979440689087,0.8027725219726562
realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,realAWSCloudwatch,0.16,0.009950248756218905,0.018735362997658076,0.950354609929078,1.0,0.9745454545454546,2,4032,3.0,30.057299852371216,0.5595524311065674
realAdExchange/exchange-2_cpc_results.csv,realAdExchange,0.010752688172043012,0.006134969325153374,0.0078125,0.6392156862745098,1.0,0.7799043062200957,1,1624,2.75,6.816155672073364,0.2080223560333252
realAdExchange/exchange-2_cpm_results.csv,realAdExchange,0.019417475728155338,0.037037037037037035,0.025477707006369425,0.34838709677419355,1.0,0.5167464114832536,2,1624,1.5,7.321459531784058,0.22365498542785645
realAdExchange/exchange-3_cpc_results.csv,realAdExchange,0.09774436090225563,0.08496732026143791,0.0909090909090909,0.4594594594594595,0.6666666666666666,0.5439999999999999,3,1538,2.0,6.301126718521118,0.17940044403076172
realAdExchange/exchange-3_cpm_results.csv,realAdExchange,0.3333333333333333,0.026143790849673203,0.04848484848484848,0.9503105590062112,1.0,0.9745222929936307,1,1538,4.0,8.234126329421997,0.17747235298156738
realAdExchange/exchange-4_cpc_results.csv,realAdExchange,0.18435754189944134,0.4,0.2523900573613767,0.3610503282275711,1.0,0.5305466237942122,3,1643,1.5,7.717647075653076,0.33838319778442383
realAdExchange/exchange-4_cpm_results.csv,realAdExchange,0.248,0.18902439024390244,0.21453287197231835,0.6356589147286822,1.0,0.7772511848341233,4,1643,1.0,9.360927104949951,0.2671220302581787
realKnownCause/ambient_temperature_system_failure.csv,realKnownCause,0.3076923076923077,0.011019283746556474,0.02127659574468085,0.9758064516129032,1.0,0.9877551020408163,2,7267,3.0,40.87464904785156,1.1732902526855469
realKnownCause/cpu_utilization_asg_misconfiguration.csv,realKnownCause,0.7142857142857143,0.00333555703802535,0.0066401062416998665,0.9986675549633578,1.0,0.9993333333333334,1,18050,4.0,167.78303480148315,3.7919256687164307
realKnownCause/ec2_request_latency_system_failure.csv,realKnownCause,0.04938271604938271,0.011560693641618497,0.01873536299765808,0.7780979827089337,0.7803468208092486,0.7792207792207791,3,4032,2.5,31.259103775024414,0.6059534549713135
realKnownCause/machine_temperature_system_failure.csv,realKnownCause,0.11396011396011396,0.01763668430335097,0.030546009927453228,0.879410624272974,1.0,0.9358365999587374,4,22695,3.5,125.48551416397095,4.477806806564331
realKnownCause/nyc_taxi.csv,realKnownCause,0.0326530612244898,0.030917874396135265,0.031761786600496285,0.46621621621621623,0.8,0.5891141942369263,5,10320,1.25,50.83842182159424,2.158543586730957
realKnownCause/rogue_agent_key_hold.csv,realKnownCause,0.016260162601626018,0.021052631578947368,0.01834862385321101,0.2818991097922849,0.5,0.3605313092979127,2,1882,3.0,10.020696640014648,0.5164625644683838
realKnownCause/rogue_agent_key_updown.csv,realKnownCause,0.125,0.020754716981132074,0.03559870550161812,0.8731466227347611,1.0,0.932277924362357,2,5315,2.5,39.19749355316162,0.9903421401977539
realTraffic/TravelTime_387.csv,realTraffic,0.07866273352999016,0.321285140562249,0.1263823064770932,0.20994940978077573,1.0,0.34703832752613245,3,2500,0.5,11.251709699630737,0.40711116790771484
realTraffic/TravelTime_451.csv,realTraffic,0.003134796238244514,0.004608294930875576,0.0037313432835820895,0.405607476635514,1.0,0.5771276595744681,1,2162,0.75,9.674012422561646,0.4189295768737793
realTraffic/occupancy_6005.csv,realTraffic,0.0,0.0,0.0,0.0,0.0,0.0,1,2380,2.0,10.377931356430054,0.5267500877380371
realTraffic/occupancy_t4013.csv,realTraffic,0.38190954773869346,0.304,0.3385300668151448,0.6702412868632708,1.0,0.8025682182985554,2,2500,1.75,13.278568983078003,0.35186123847961426
realTraffic/speed_6005.csv,realTraffic,0.008771929824561403,0.0041841004184100415,0.005665722379603399,0.6789772727272727,1.0,0.8087986463620981,1,2500,1.5,10.546812295913696,0.3955650329589844
realTraffic/speed_7578.csv,realTraffic,0.4583333333333333,0.09482758620689655,0.15714285714285717,0.87,0.75,0.8055555555555555,4,1127,2.0,5.870897054672241,0.15061569213867188
realTraffic/speed_t4013.csv,realTraffic,0.33905579399141633,0.316,0.32712215320910976,0.6188118811881188,1.0,0.7645259938837919,2,2495,4.0,10.446633338928223,0.3285350799560547
